,french,english
4353,hong,hong
4354,destinée,destiny
4355,plaisanterie,joke
4356,circuit,circuit
4357,piges,freelancers
4358,Moore,Moore
4359,observer,observe
4360,mines,mining
4361,peindre,to paint
4362,porno,porn
4363,comtesse,countess
4364,casque,helmet
4365,rate,missed
4366,coûter,cost
4367,chacune,each
4368,Jamie,Jamie
4369,parent,parent
4370,dépression,depression
4371,télégramme,telegram
4372,élu,elected
4373,stupides,stupid
4374,pensiez,thought
4375,partant,leaving
4376,cash,cash
4377,profite,take advantage
4378,caution,bail
4379,serrer,to squeeze
4380,maudite,cursed
4381,intéresser,to interest
4382,écart,gap
4383,inquiètes,worried
4384,oú,Or
4385,évidence,evidence
4386,leçons,lessons
4387,connus,known
4388,etc,etc
4389,retiré,took of
4390,Greg,Greg
4391,rendent,make
4392,volontaire,voluntary
4393,nid,nest
4394,Oliver,Oliver
4395,he,Hey
4396,prêter,lend
4397,nichons,tits
4398,capitale,capital city
4399,témoigner,bear witness
4400,équipes,teams
4401,égoïste,self-centered
4402,partent,leave
4403,troupe,troop
4404,sincèrement,sincerely
4405,regretter,to regret
4406,responsabilités,responsibilities
4407,associés,associates
4408,cigare,cigar
4409,dean,dean
4410,partirai,will leave
4411,adversaire,opponent
4412,générale,general
4413,misère,misery
4414,vampires,vampires
4415,grève,strike
4416,Nina,Nina
4417,suisse,Swiss
4418,gâteaux,cakes
4419,diamant,diamond
4420,catastrophe,disaster
4421,meubles,furniture
4422,gus,gus
4423,voyages,travel
4424,subir,undergo
4425,balade,ride
4426,allah,Allah
4427,mêler,mix
4428,signez,sign
4429,enveloppe,envelope
4430,ressenti,feeling
4431,führer,fuhrer
4432,gras,fat
4433,arrêtée,stopped
4434,explose,explodes
4435,range,tidy
4436,interview,interview
4437,tombent,fall
4438,confier,entrust
4439,voile,veil
4440,fiches,sheets
4441,embête,bother
4442,caravane,caravan
4443,affection,affection
4444,Manhattan,Manhattan
4445,éléphant,elephant
4446,blue,blue
4447,vagues,waves
4448,pleins,full
4449,fascinant,fascinating
4450,doutais,doubted
4451,effrayant,scary
4452,commercial,commercial
4453,rapporter,report
4454,fonction,function
4455,fixe,fixed
4456,arrete,stopped
4457,pères,fathers
4458,circulation,traffic
4459,tennis,tennis
4460,navrée,sorry
4461,civilisation,civilization
4462,fameux,famous
4463,retenu,retained
4464,moutons,sheep
4465,draps,sheets
4466,servent,serve
4467,jouais,was playing
4468,éternelle,eternal
4469,couches,layers
4470,satellite,satellite
4471,ramasse,picked up
4472,endormir,fall asleep
4473,fillette,little girl
4474,rendra,will make
4475,sujets,topics
4476,remède,remedy
4477,portez,wear
4478,enseigner,teach
4479,observe,observed
4480,ouverts,open
4481,vues,views
4482,sortait,was going out
4483,passais,I was passing
4484,ris,laugh
4485,transfert,transfer
4486,bidon,can
4487,météo,weather report
4488,explosé,exploded
4489,loyauté,loyalty
4490,dignité,dignity
4491,planche,plank
4492,améliorer,improve
4493,hélicoptère,helicopter
4494,civil,civil
4495,liens,connections
4496,vif,lively
4497,maintenir,maintain
4498,Craig,Craig
4499,Vietnam,Vietnam
4500,Claude,Claude
4501,pacifique,peaceful
4502,fringues,clothes
4503,demie,half
4504,onze,eleven
4505,we,we
4506,mangent,eat
4507,connaissiez,knew
4508,rares,rare
4509,naturelle,natural
4510,sue,sue
4511,ricky,ricky
4512,assaut,assault
4513,fâchée,angry
4514,portent,carry
4515,kay,kay
4516,karl,Karl
4517,pareils,the same
4518,légal,legal
4519,tracy,tracy
4520,eus,had
4521,pr,pr
4522,civils,civilians
4523,inconnue,unknown
4524,eva,eva
4525,disparition,disappearance
4526,nicky,nicky
4527,steven,steven
4528,pompe,pump
4529,méchante,evil
4530,lancement,launch
4531,quartiers,neighborhoods
4532,douceur,candy
4533,tendu,tense
4534,feuille,leaf
4535,stuart,stuart
4536,leader,leader
4537,pilotes,pilots
4538,ètait,was
4539,mâle,male
4540,tenais,held on
4541,royale,royal
4542,cordes,ropes
4543,arrivez,arrive
4544,bandes,bands
4545,promenade,ride
4546,magnifiques,magnificent
4547,emma,emma
4548,wallace,wallace
4549,veronica,veronica
4550,tv,TV
4551,adn,dna
4552,monseigneur,My lord
4553,meure,die
4554,airs,tunes
4555,emmenée,taken away
4556,actuellement,Currently
4557,peste,plague
4558,Antonio,Antonio
4559,tragique,tragic
4560,médias,media
4561,antenne,antenna
4562,avertissement,warning
4563,brille,shines
4564,Pedro,Peter
4565,conflit,conflict
4566,pompiers,firefighters
4567,engin,machine
4568,douée,gifted
4569,oublions,let's forget
4570,plains,plains
4571,systèmes,systems
4572,foire,fair
4573,Sonny,Sonny
4574,patiente,patient
4575,coincée,stuck
4576,canons,cannons
4577,partira,will leave
4578,soutenir,sustain
4579,beach,beach
4580,poussez,PUSH
4581,saigne,bleeds
4582,toc,knock
4583,construction,construction
4584,boucher,butcher
4585,missiles,missiles
4586,compétition,competition
4587,buvons,let's drink
4588,motif,pattern
4589,ambassade,embassy
4590,warren,warren
4591,régiment,regiment
4592,remarquer,to remark
4593,enregistré,checked in
4594,collins,collins
4595,enregistrement,registration
4596,doutes,doubts
4597,sien,his
4598,profit,profit
4599,sammy,sammy
4600,audition,hearing
4601,lame,blade
4602,opportunité,opportunity
4603,scotch,Scotch
4604,imaginé,conceived
4605,coke,coke
4606,existent,exist
4607,budget,budget
4608,pearl,pearl
4609,basse,low
4610,selle,saddle
4611,déja,Already
4612,historique,historical
4613,officiellement,officially
4614,effacer,to erase
4615,loge,lodge
4616,francis,francis
4617,décrire,describe
4618,osé,dared
4619,éternel,eternal
4620,serpents,snakes
4621,demanderai,will ask
4622,médicament,medicine
4623,deviné,guess
4624,armées,armies
4625,promesses,promises
4626,chaînes,chains
4627,sentait,felt
4628,association,association
4629,viennes,come
4630,quai,dock
4631,poker,poker
4632,saleté,dirt
4633,sandy,sandy
4634,ã,has
4635,irak,Iraq
4636,commences,start
4637,crevé,flattened
4638,cuba,Cuba
4639,wendy,wendy
4640,profil,profile
4641,travis,travis
4642,tache,stain
4643,viendront,will come
4644,étudie,studied
4645,apportez,bring
4646,tribu,tribe
4647,crié,calls out
4648,entraîne,leads
4649,héroïne,heroin
4650,changements,changes
4651,joan,joan
4652,correctement,correctly
4653,essaient,try
4654,mouvements,movements
4655,atterrir,to land
4656,formes,shapes
4657,coca,Coca
4658,fragile,fragile
4659,poignée,handle
4660,cadre,frame
4661,genou,knee
4662,conçu,designed
4663,revu,reviewed
4664,légitime,legitimate
4665,sauvée,saved
4666,déménager,to relocate
4667,conne,cunt
4668,dentiste,dentist
4669,aiier,aiier
4670,ondes,waves
4671,ralph,ralph
4672,mené,led
4673,discipline,discipline
4674,évacuer,clear out
4675,parié,bet
4676,bières,beers
4677,Russell,Russell
4678,identifié,identified
4679,recevez,receive
4680,cachée,hidden
4681,évite,avoid
4682,dormais,was sleeping
4683,utilisez,use
4684,décès,death
4685,guy,guy
4686,get,get
4687,demoiselle,lady
4688,fui,fled
4689,ressemblent,look alike
4690,misérable,miserable
4691,fatigue,fatigue
4692,ancêtres,ancestors
4693,camions,trucks
4694,dormez,sleep
4695,pan,bang
4696,duré,hard
4697,disponible,available
4698,vôtres,yours
4699,cuit,cooked
4700,marchait,walked
4701,nage,swimming
4702,come,come
4703,suspects,suspects
4704,menottes,handcuffs
4705,nique,fuck
4706,panneau,sign
4707,rit,laughs
4708,pognon,money
4709,illusion,illusion
4710,menu,menu
4711,Ronnie,Ronnie
4712,établir,establish
4713,mettons,let's put
4714,retrouvée,found
4715,sabre,saber
4716,André,Andrew
4717,épuisé,exhausted
4718,restés,remains
4719,continues,continuous
4720,chanteur,singer
4721,kid,kid
4722,lola,lola
4723,prés,close
4724,tendance,tendency
4725,souvient,remembers
4726,enfermer,lock up
4727,thérapie,therapy
4728,vaisselle,dishes
4729,tournez,turn
4730,accorde,granted
4731,chemins,paths
4732,troupeau,herd
4733,saluer,greet
4734,uh,uh
4735,Kennedy,Kennedy
4736,nettoie,cleans
4737,assiette,plate
4738,discuté,discussed
4739,touches,keys
4740,impact,impact
4741,dessins,drawings
4742,rompre,to break up
4743,suivent,follow
4744,sienne,his
4745,verrons,we'll see
4746,angoisse,anguish
4747,états,states
4748,vivons,live
4749,Mitchell,Mitchell
4750,écrasé,crushed
4751,tiennent,hold
4752,pape,Pope
4753,connaissons,know
4754,Murphy,Murphy
4755,Ivan,Ivan
4756,supposé,Assumed
4757,colonne,column
4758,assistante,assistant
4759,mettrai,will put
4760,maquillage,makeup
4761,ticket,ticket
4762,réussite,success
4763,quête,quest
4764,boxe,boxing
4765,proposer,to propose
4766,boutons,buttons
4767,arriverait,would happen
4768,assassins,assassins
4769,répétition,repetition
4770,agissait,acted
4771,culpabilité,guilt
4772,pirate,pirate
4773,blanches,white
4774,brésil,Brazil
4775,penny,penny
4776,maîtres,masters
4777,psychiatre,psychiatrist
4778,miracles,miracles
4779,hello,Hello
4780,honorable,honorable
4781,collines,Hills
4782,vachement,really
4783,taureau,bull
4784,considère,considered
4785,âne,donkey
4786,whoa,whoa
4787,comprennent,understand
4788,Christian,Christian
4789,Justin,Justin
4790,méthodes,methods
4791,canal,channel
4792,navette,shuttle
4793,Tyler,Tyler
4794,légère,light
4795,sortant,outgoing
4796,chaussettes,socks
4797,revanche,revenge
4798,remet,hands over
4799,mentez,lie
4800,bud,bud
4801,Abby,Abby
4802,poils,fur
4803,placer,to place
4804,absent,absent
4805,arrivais,arrived
4806,escaliers,stairs
4807,funérailles,funeral
4808,routine,routine
4809,noté,note
4810,prenais,took
4811,conducteur,driver
4812,subi,suffered
4813,photographe,photographer
4814,noires,black
4815,marchandise,merchandise
4816,prendrais,would take
4817,émotion,emotion
4818,défaut,default
4819,satan,Satan
4820,occuperai,will occupy
4821,dog,dog
4822,mystérieux,mysterious
4823,carmen,carmen
4824,possession,possession
4825,responsables,responsible
4826,raccroche,hang up
4827,intentions,intentions
4828,minimum,minimum
4829,négocier,negotiate
4830,janvier,January
4831,baraque,shack
4832,batte,bat
4833,irlandais,Irish
4834,filet,net
4835,confortable,comfortable
4836,fermés,closed
4837,ressources,resources
4838,rayons,rays
4839,innocente,innocent
4840,Harvard,Harvard
4841,expédition,shipping
4842,may,may
4843,profession,occupation
4844,plaira,will please
4845,bêtise,stupidity
4846,restant,remaining
4847,jugé,judge
4848,Mitch,Mitch
4849,organise,organized
4850,rappelé,recalled
4851,puissante,powerful
4852,pertes,losses
4853,saurait,would know
4854,planque,hideout
4855,ressentir,to feel
4856,grotte,cave
4857,gentiment,kindly
4858,péter,to fart
4859,chienne,female dog
4860,tristesse,sadness
4861,héritage,legacy
4862,occupera,will occupy
4863,Benjamin,Benjamin
4864,Antoine,Anthony
4865,bloqué,blocked
4866,punition,punishment
4867,constamment,constantly
4868,contents,happy
4869,visites,visits
4870,infiniment,infinitely
4871,effectivement,Effectively
4872,chiffre,figure
4873,conscient,aware
4874,manager,manager
4875,représentant,representative
4876,anglaise,English
4877,cauchemars,nightmares
4878,Jan,Jan
4879,continué,keep on going
4880,réduit,reduced
4881,gré,free will
4882,filmé,filmed
4883,stars,stars
4884,Owen,Owen
4885,embrassé,kissed
4886,peint,painted
4887,reparti,left again
4888,soie,silk
4889,Lloyd,Lloyd
4890,voisine,neighbor
4891,douzaine,dozen
4892,frankenstein,frankenstein
4893,attaques,attacks
4894,gênant,embarrassing
4895,superman,superman
4896,arrivant,arriving
4897,brillante,brilliant
4898,atterrissage,landing
4899,attendra,will wait
4900,allure,allure
4901,pénible,hard
4902,faibles,weak
4903,clef,key
4904,Bruno,Bruno
4905,Christine,Christina
4906,Rebecca,Rebecca
4907,bang,bang
4908,pété,farted
4909,gardiens,guardians
4910,formule,formula
4911,soda,soda
4912,frites,fries
4913,fées,fairies
4914,angel,angel
4915,mm,mm
4916,aperçu,preview
4917,imaginais,imagined
4918,aussitôt,right away
4919,énormes,huge
4920,wade,wade
4921,choisit,chooses
4922,montée,climb
4923,baignoire,bathtub
4924,principes,principles
4925,homo,homo
4926,marchand,merchant
4927,cochons,pigs
4928,spécialiste,specialist
4929,repéré,spotted
4930,récupéré,recovered
4931,extra,extra
4932,éclate,bursts
4933,survivants,survivors
4934,auquel,to which
4935,apparence,appearance
4936,sucer,suck
4937,habiter,live
4938,excité,excited
4939,Houston,Houston
4940,jules,jules
4941,foudre,lightning
4942,chasseurs,hunters
4943,walker,walker
4944,with,with
4945,nièce,niece
4946,urgences,EMERGENCIES
4947,mérité,deserved
4948,dépensé,spent
4949,boys,boys
4950,saisir,to input
4951,équilibre,balance
4952,allumé,alight
4953,lâches,cowards
4954,bruits,noises
4955,protégé,protected
4956,résolu,resolved
4957,probable,likely
4958,poursuite,pursuit
4959,baker,baker
4960,résidence,residence
4961,cognac,cognac
4962,Clyde,Clyde
4963,muscles,muscles
4964,passées,past
4965,intime,respondent
4966,république,Republic
4967,serviteur,servant
4968,noyer,walnut
4969,mortes,dead
4970,trompée,deceived
4971,morgue,morgue
4972,cherchons,are looking for
4973,coma,coma
4974,capables,capable
4975,berger,shepherd
4976,apprendra,will learn
4977,amateur,amateur
4978,dises,say
4979,vertu,virtue
4980,permets,allow
4981,mafia,mafia
4982,engagement,commitment
4983,lesquelles,which
4984,cachette,hiding place
